timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,SMA_Price,upper_bound,lower_bound,breakthrough
8/14/2018,37.77,38.52,37.38,38.39,38.39,829783,0,1,38.39,38.7739,38.0061,0
8/13/2018,37.64,37.77,37.26,37.5,37.5,637050,0,1,37.5,37.875,37.125,0
8/10/2018,37.34,37.81,37.07,37.54,37.54,772720,0,1,37.54,37.9154,37.1646,0
8/9/2018,37.2,37.92,36.93,37.68,37.68,952045,0,1,37.68,38.0568,37.3032,0
8/8/2018,36.94,37.16,35.7756,36.85,36.85,1668257,0,1,36.85,37.2185,36.4815,0
8/7/2018,36.42,36.6,35.575,36,36,817150,0,1,36.0,36.36,35.64,0
8/6/2018,35.98,36.49,35.7601,36.3,36.3,534765,0,1,36.3,36.663,35.937,0
8/3/2018,36.46,36.67,35.39,35.91,35.91,332563,0,1,35.91,36.2691,35.5509,0
8/2/2018,35.53,36.51,35.4,36.48,36.48,469886,0,1,36.48,36.8448,36.1152,0
8/1/2018,36.7,37.189,35.13,35.73,35.73,940218,0,1,35.73,36.0873,35.3727,0
7/31/2018,35.25,35.88,35.25,35.38,35.38,454208,0,1,35.38,35.7338,35.0262,0
7/30/2018,35.14,35.42,34.78,35.16,35.16,346667,0,1,35.16,35.5116,34.8084,0
7/27/2018,36.8,37.02,35.17,35.18,35.18,697126,0,1,35.18,35.5318,34.8282,0
7/26/2018,36.61,37.2,36.525,36.74,36.74,480350,0,1,36.74,37.1074,36.3726,0
7/25/2018,35.41,36.66,35.35,36.65,36.65,567227,0,1,36.65,37.0165,36.2835,0
7/24/2018,36.02,36.14,35.1,35.53,35.53,778750,0,1,35.53,35.8853,35.1747,0
7/23/2018,35.96,36.33,35.72,35.92,35.92,443436,0,1,35.92,36.2792,35.5608,0
7/20/2018,36.6,36.77,36.02,36.13,36.13,368891,0,1,36.13,36.4913,35.7687,0
7/19/2018,35.56,36.58,35.49,36.52,36.52,446467,0,1,36.52,36.8852,36.1548,0
7/18/2018,35.17,35.63,35.13,35.59,35.59,465597,0,1,35.59,35.9459,35.2341,0
7/17/2018,34.8,35.62,34.41,35.27,35.27,606650,0,1,35.27,35.6227,34.9173,0
7/16/2018,33.79,34.04,33.56,33.99,33.99,472756,0,1,33.99,34.3299,33.6501,0
7/13/2018,33.38,33.89,33.38,33.7,33.7,447998,0,1,33.7,34.037,33.363,0
7/12/2018,33.56,33.805,33.15,33.47,33.47,272363,0,1,33.47,33.8047,33.1353,0
7/11/2018,33.74,33.85,33.2,33.49,33.49,514956,0,1,33.49,33.8249,33.1551,0
7/10/2018,33.93,34.125,33.68,33.98,33.98,476291,0,1,33.98,34.3198,33.6402,0
7/9/2018,34.27,34.46,33.76,33.95,33.95,495089,0,1,33.95,34.2895,33.6105,0
7/6/2018,34.51,34.61,33.98,34.1,34.1,458457,0,1,34.1,34.441,33.759,0
7/5/2018,34.83,34.83,34.21,34.52,34.52,834796,0,1,34.52,34.8652,34.1748,0
7/3/2018,34.62,35.11,34.56,34.61,34.61,245210,0,1,34.61,34.9561,34.2639,0
7/2/2018,34.5,34.89,34.17,34.58,34.58,556464,0,1,34.58,34.9258,34.2342,0
6/29/2018,35.74,35.91,34.77,34.77,34.77,593017,0.08,1,34.77,35.1177,34.4223,0
6/28/2018,35.09,35.38,35.01,35.37,35.2888,445242,0,1,35.2888,35.641688,34.935912,0
6/27/2018,35.7,35.925,35.17,35.19,35.1092,769310,0,1,35.1092,35.460292,34.758108,0
6/26/2018,34.95,35.86,34.95,35.68,35.5981,466945,0,1,35.5981,35.954081,35.242119,0
6/25/2018,35.58,35.74,34.88,34.93,34.8498,600808,0,1,34.8498,35.198298,34.501302,0
6/22/2018,36.77,36.77,35.685,35.71,35.628,884637,0,1,35.628,35.98428,35.27172,0
6/21/2018,36.57,36.74,36.24,36.27,36.1867,471921,0,1,36.1867,36.548567,35.824833,0
6/20/2018,36.86,36.87,35.7004,36.66,36.5758,661990,0,1,36.5758,36.941558,36.210042,0
6/19/2018,36.4,36.9,36.2,36.75,36.6656,588428,0,1,36.6656,37.032256,36.298944,0
6/18/2018,36.26,36.88,36.15,36.73,36.6457,692748,0,1,36.6457,37.012157,36.279243,0
6/15/2018,36.21,36.69,36.08,36.5,36.4162,1027148,0,1,36.4162,36.780362,36.052038,0
6/14/2018,36.17,36.35,35.93,36.25,36.1668,878150,0,1,36.1668,36.528468,35.805132,0
6/13/2018,36.05,36.29,35.79,36.22,36.1369,856298,0,1,36.1369,36.498269,35.775531,0
6/12/2018,35.65,36.1,35.39,36.09,36.0072,927533,0,1,36.0072,36.367272,35.647128,0
6/11/2018,35.45,35.7,35.38,35.62,35.5382,678770,0,1,35.5382,35.893582,35.182818,0
6/8/2018,35.19,35.45,35.14,35.39,35.3088,621875,0,1,35.3088,35.661888,34.955712,0
6/7/2018,35.4,35.74,35.18,35.24,35.1591,410121,0,1,35.1591,35.510691,34.807509,0
6/6/2018,35.58,35.66,35.16,35.33,35.2489,505071,0,1,35.2489,35.601389,34.896411,0
6/5/2018,34.76,35.49,34.415,35.41,35.3287,566893,0,1,35.3287,35.681987,34.975413,0
6/4/2018,34.27,34.74,34.16,34.7,34.6203,624180,0,1,34.6203,34.966503,34.274097,0
6/1/2018,33.79,34.35,33.58,34.13,34.0517,674606,0,1,34.0517,34.392217,33.711183,0
5/31/2018,33.73,33.94,33.36,33.53,33.453,645900,0,1,33.453,33.78753,33.11847,0
5/30/2018,33.5,33.76,33.3,33.6,33.5229,581020,0,1,33.5229,33.858129,33.187671,0
5/29/2018,33.15,33.45,32.9,33.05,32.9741,600653,0,1,32.9741,33.303841,32.644359,0
5/25/2018,33.31,33.63,33.21,33.41,33.3333,473351,0,1,33.3333,33.666633,32.999967,0
5/24/2018,32.8,33.35,32.63,33.24,33.1637,611593,0,1,33.1637,33.495337,32.832063,0
5/23/2018,32.88,33.13,32.64,32.84,32.7646,386929,0,1,32.7646,33.092246,32.436954,0
5/22/2018,33,33.39,32.89,32.9,32.8245,430272,0,1,32.8245,33.152745,32.496255,0
5/21/2018,32.5,32.96,32.43,32.93,32.8544,387447,0,1,32.8544,33.182944,32.525856,0
5/18/2018,32.25,32.51,32.23,32.3,32.2259,542800,0,1,32.2259,32.548159,31.903641,0
5/17/2018,32.67,32.79,32.3,32.38,32.3057,579953,0,1,32.3057,32.628757,31.982643,0
5/16/2018,32,32.84,31.95,32.68,32.605,686232,0,1,32.605,32.93105,32.27895,0
5/15/2018,31.05,31.99,31.05,31.93,31.8567,678502,0,1,31.8567,32.175267,31.538133,0
5/14/2018,31.31,31.68,31.2,31.25,31.1783,842502,0,1,31.1783,31.490083,30.866517,0
5/11/2018,31.75,32.04,31.1,31.24,31.1683,880616,0,1,31.1683,31.479983,30.856617,0
5/10/2018,32.27,32.43,30.88,31.79,31.717,1286319,0,1,31.717,32.03417,31.39983,0
5/9/2018,31.46,32.61,30.4,31.95,31.8767,2749286,0,1,31.8767,32.195467,31.557933,0
5/8/2018,29.29,30.07,29.24,29.8,29.7316,1474290,0,1,29.7316,30.028916,29.434284,0
5/7/2018,29.71,29.71,28.64,29.29,29.2228,1394410,0,1,29.2228,29.515028,28.930572,0
5/4/2018,29.2,29.89,29.01,29.74,29.6717,360542,0,1,29.6717,29.968417,29.374983,0
5/3/2018,29.62,29.62,29.04,29.28,29.2128,483222,0,1,29.2128,29.504928,28.920672,0
5/2/2018,29.83,29.99,29.49,29.76,29.6917,458181,0,1,29.6917,29.988617,29.394783,0
5/1/2018,29.83,30.11,29.33,30,29.9311,611524,0,1,29.9311,30.230411,29.631789,0
4/30/2018,30.01,30.36,29.91,29.96,29.8912,824630,0,1,29.8912,30.190112,29.592288,0
4/27/2018,29.83,30.51,29.83,30.02,29.9511,236766,0,1,29.9511,30.250611,29.651589,0
4/26/2018,29.69,29.9,29.29,29.76,29.6917,212487,0,1,29.6917,29.988617,29.394783,0
4/25/2018,29.42,29.75,29.2846,29.68,29.6119,435495,0,1,29.6119,29.908019,29.315781,0
4/24/2018,29.52,29.81,29.27,29.4,29.3325,289530,0,1,29.3325,29.625825,29.039175,0
4/23/2018,28.96,29.5034,28.96,29.34,29.2726,383803,0,1,29.2726,29.565326,28.979874,0
4/20/2018,29.09,29.67,28.84,28.87,28.8037,553138,0,1,28.8037,29.091737,28.515663,0
4/19/2018,29.95,30.15,29.26,29.35,29.2826,690281,0,1,29.2826,29.575426,28.989774,0
4/18/2018,30.45,30.59,29.94,29.97,29.9012,626474,0,1,29.9012,30.200212,29.602188,0
4/17/2018,30.47,30.53,30.165,30.33,30.2604,341610,0,1,30.2604,30.563004,29.957796,0
4/16/2018,30.41,30.49,30.145,30.26,30.1905,526185,0,1,30.1905,30.492405,29.888595,0
4/13/2018,31.32,31.32,30.25,30.28,30.2105,850589,0,1,30.2105,30.512605,29.908395,0
4/12/2018,31.26,31.325,30.94,31.16,31.0885,759539,0,1,31.0885,31.399385,30.777615,0
4/11/2018,30.53,31.22,30.49,31.18,31.1084,925315,0,1,31.1084,31.419484,30.797316,0
4/10/2018,30.28,30.83,30.05,30.76,30.6894,829945,0,1,30.6894,30.996294,30.382506,0
4/9/2018,29.82,30.39,29.61,30.09,30.0209,782772,0,1,30.0209,30.321109,29.720691,0
4/6/2018,29.75,30.54,29.51,29.74,29.6717,673749,0,1,29.6717,29.968417,29.374983,0
4/5/2018,29.28,30.02,29.09,29.93,29.8613,461242,0,1,29.8613,30.159913,29.562687,0
4/4/2018,28.27,29.17,28.11,29.11,29.0432,709525,0,1,29.0432,29.333632,28.752768,0
4/3/2018,28.08,28.62,28.08,28.47,28.4046,485112,0,1,28.4046,28.688646,28.120554,0
4/2/2018,28.76,28.87,27.93,28.06,27.9956,404971,0,1,27.9956,28.275556,27.715644,0
3/29/2018,29.11,29.34,28.85,28.9,28.8337,407648,0.08,1,28.8337,29.122037,28.545363,0
3/28/2018,28.69,29.265,28.64,28.95,28.8038,610586,0,1,28.8038,29.091838,28.515762,0
3/27/2018,28.64,28.94,28.33,28.57,28.4257,769753,0,1,28.4257,28.709957,28.141443,0
3/26/2018,28.58,28.74,28.18,28.6,28.4556,725586,0,1,28.4556,28.740156,28.171044,0
3/23/2018,29.02,29.2,28.15,28.15,28.0078,526668,0,1,28.0078,28.287878,27.727722,0
3/22/2018,29.09,29.46,28.84,28.84,28.6944,601520,0,1,28.6944,28.981344,28.407456,0
3/21/2018,29.29,29.49,29.21,29.31,29.162,391968,0,1,29.162,29.45362,28.87038,0
3/20/2018,29.3,29.51,29.13,29.3,29.152,526044,0,1,29.152,29.44352,28.86048,0
3/19/2018,29.27,29.425,29.09,29.29,29.1421,464810,0,1,29.1421,29.433521,28.850679,0
3/16/2018,28.79,29.47,28.72,29.41,29.2615,1190984,0,1,29.2615,29.554115,28.968885,0
